criticality_timeframe,notes,contributor_id,date_created,date_updated,criticality_timeframe_id
long-term,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",1
medium-term,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",2
