process_name,notes,contributor_id,date_created,date_updated,process_name_id
trailers,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",76
air,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",77
"refrigerators and freezers",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",78
"clothes washing machines",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",79
"clothes dryers",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",80
dishwashers,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",81
"stove ranges and ovens",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",82
"microwave ovens",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",83
"portable air conditioners",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",84
"blast chillers",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",85
"ice machines",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",86
"auto mechanic tools",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",87
computers,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",88
televisions,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",89
telephones,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",90
"steroes and radios",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",91
"vacuum cleaners",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",92
"hair dryers",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",93
"extension cords",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",94
"kitchen stationary mixers",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",95
"electric blenders",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",96
"food processors",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",97
"electric lawnmowers",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",98
"sewing machines",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",99
"construction and mining machinery",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",100
forklifts,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",101
"manufacturing machinery",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",102
"farm machinery",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",103
"pots and pans",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",104
"brass bullet shells",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",105
"brass musical instruments",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",106
coinage,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",107
food,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",108
"chromated copper arsenate lumber",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",109
"cable tv coaxial lines",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",110
"sbc phone lines",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",111
"electricity transmission and distribution",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",112
"power stations",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",113
"railway overhead contact system wire",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",114
"water mains",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",115
"service lines",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",116
"air cocks and blow-offs",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",117
"natural gas",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",118
"streetscape electrical wire",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",119
"building and construction",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",120
"electrical and electronic products",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",121
infrastructure,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",122
transportation,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",123
"lithosphere econmic resources",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",124
"consumer and commercial durables",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",125
"consumer durables",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",126
"commercial durables",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",127
"bauxite mining",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",128
"alumina refining",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",129
"primary aluminum smelting",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",130
"ingot casting",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",131
fabrication,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",132
"foundry casting",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",133
rolling,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",134
"extrusion drawing",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",135
other,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",136
"sand castings",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",137
"mold castings",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",138
"die castings",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",139
"other castings",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",140
"sheet plate",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",141
foil,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",142
"electrical conductor",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",143
wire,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",144
"powder paste",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",145
"forgings impacts",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",146
manufacturing,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",147
transport,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",148
construction,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",149
"industrial machinery",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",150
electrical,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",151
"containers packaging",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",152
