process_id,citation_id,notes,contributor_id,date_created,date_updated
200001603,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200001604,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200001605,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200001606,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200001607,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200001608,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200001609,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200001610,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200001611,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200001612,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200001613,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200001614,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200001615,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200001616,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200001617,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200001618,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200001619,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200001620,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200001621,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200001622,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200001623,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200001624,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200001625,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200001626,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200001627,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200001628,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200001629,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200001630,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200001631,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200001632,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200001633,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200001634,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200001635,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
