trade_code,trade_code_type,trade_code_version,commodity,description,publication_id,notes,contributor_id,date_created,date_updated,trade_code_id
8703,hs,NULL,NULL,"Passenger vehicles",6,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",39
8701,hs,NULL,NULL,"Good and transport vehicles",6,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",40
8702,hs,NULL,NULL,"Good and transport vehicles",6,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",41
8704,hs,NULL,NULL,"Good and transport vehicles",6,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",42
8705,hs,NULL,NULL,"Good and transport vehicles",6,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",43
8711,hs,NULL,NULL,Motorcycles,6,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",44
8415,hs,NULL,NULL,"Electrical and electronic products",6,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",45
8418,hs,NULL,NULL,"Electrical and electronic products",6,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",46
8450,hs,NULL,NULL,"Electrical and electronic products",6,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",47
842211,hs,NULL,NULL,"Electrical and electronic products",6,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",48
845121,hs,NULL,NULL,"Electrical and electronic products",6,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",49
8471,hs,NULL,NULL,"Electrical and electronic products",6,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",50
8508,hs,NULL,NULL,"Electrical and electronic products",6,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",51
8509,hs,NULL,NULL,"Electrical and electronic products",6,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",52
8510,hs,NULL,NULL,"Electrical and electronic products",6,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",53
8516,hs,NULL,NULL,"Electrical and electronic products",6,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",54
8517,hs,NULL,NULL,"Electrical and electronic products",6,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",55
8518,hs,NULL,NULL,"Electrical and electronic products",6,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",56
8526,hs,NULL,NULL,"Electrical and electronic products",6,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",57
8528,hs,NULL,NULL,"Electrical and electronic products",6,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",58
852210,hs,NULL,NULL,"Electrical and electronic products",6,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",59
852290,hs,NULL,NULL,"Electrical and electronic products",6,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",60
852550,hs,NULL,NULL,"Electrical and electronic products",6,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",61
852560,hs,NULL,NULL,"Electrical and electronic products",6,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",62
852910,hs,NULL,NULL,"Electrical and electronic products",6,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",63
852990,hs,NULL,NULL,"Electrical and electronic products",6,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",64
8454,hs,NULL,NULL,"Industrial and metal working machinery",6,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",65
8455,hs,NULL,NULL,"Industrial and metal working machinery",6,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",66
8468,hs,NULL,NULL,"Industrial and metal working machinery",6,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",67
8515,hs,NULL,NULL,"Industrial and metal working machinery",6,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",68
720429,hs,NULL,NULL,"Waste & scrap of alloy steel other than stainless steel",6,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",69
740400,hs,NULL,NULL,"Copper waste & scrap",6,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",70
790200,hs,NULL,NULL,"Zinc waste & scrap",6,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",71
262011,hs,NULL,NULL,"Ash or residues containing hard zinc spelter",6,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",72
262019,hs,NULL,NULL,"Ash or residues containing mainly zinc (not spelter)",6,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",73
